"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"
"HKB0552_3000_T"	"HKB0552_3000_T"	"CE8"	0.00350104837803901	0.00612683466156826	TRUE	"CE8"
"HKB0562_3000_N"	"HKB0562_3000_N"	"CE8"	0.0362082303951225	0.0442545038162608	TRUE	"CE8"
"HKB0585_3000_T"	"HKB0585_3000_T"	"CE8"	0.0406311817059647	0.0489541259940395	TRUE	"CE8"
"HKB0620_3000_T"	"HKB0620_3000_T"	"CE8"	0.0118899406455123	0.0180695808494299	TRUE	"CE8"
"HKB0713_3000_T"	"HKB0713_3000_T"	"CE8"	0.0614975261889324	0.0686276741528666	TRUE	"CE8"
"HKB0734_3000_T"	"HKB0734_3000_T"	"CE8"	0.00402395106913383	0.00688542738496232	TRUE	"CE8"
"HKB0748_3000_T"	"HKB0748_3000_T"	"CE8"	0.0580607459380221	0.0660691246880942	TRUE	"CE8"
"HKB0750_3000_T"	"HKB0750_3000_T"	"CE8"	0.0285238311659336	0.0364033425377385	TRUE	"CE8"
"HKB0007_3005_T"	"HKB0007_3005_T"	"CE9"	0.00436907617604264	0.0073668364720135	TRUE	"CE9"
"HKB0044_3006_T"	"HKB0044_3006_T"	"CE9"	3.37741619290465e-05	0.000116445244859847	TRUE	"CE9"
"HKB0050_3005_T"	"HKB0050_3005_T"	"CE9"	7.06547378969896e-05	0.000201496845113637	TRUE	"CE9"
"HKB0069_3000_T"	"HKB0069_3000_T"	"CE9"	0.00239285590661091	0.00442199771541697	TRUE	"CE9"
"HKB0079_3006_T"	"HKB0079_3006_T"	"CE9"	0.000394151567557161	0.000883970991317517	TRUE	"CE9"
"HKB0082_3006_T"	"HKB0082_3006_T"	"CE9"	4.01017660993558e-05	0.000130471943224665	TRUE	"CE9"
"HKB0089_3001_T"	"HKB0089_3001_T"	"CE9"	0.173172816706853	0.176224320084947	TRUE	"CE9"
"HKB0091_3001_T"	"HKB0091_3001_T"	"CE9"	1.80680409884166e-06	1.7390489451351e-05	TRUE	"CE9"
"HKB0137_3002_T"	"HKB0137_3002_T"	"CE9"	0.000525726151521357	0.00112004026944376	TRUE	"CE9"
"HKB0162_3006_T"	"HKB0162_3006_T"	"CE9"	0.150765984701374	0.154786410960077	TRUE	"CE9"
"HKB0167_3006_T"	"HKB0167_3006_T"	"CE9"	0.000592378096369004	0.00124399400237491	TRUE	"CE9"
"HKB0194_3006_T"	"HKB0194_3006_T"	"CE9"	0.000867162702365361	0.00178852307362856	TRUE	"CE9"
"HKB0659_3000_T"	"HKB0659_3000_T"	"CE9"	0.000501855556757042	0.00109366635481959	TRUE	"CE9"
"HKB0710_3000_T"	"HKB0710_3000_T"	"CE9"	3.83257315224659e-07	1.27533230606607e-05	TRUE	"CE9"
"HKB0718_3000_T"	"HKB0718_3000_T"	"CE9"	1.00191912900355e-05	5.38240276278651e-05	TRUE	"CE9"
"HKB0752_3000_T"	"HKB0752_3000_T"	"CE9"	0.000378007522820732	0.000856075860505776	TRUE	"CE9"
"HKB0040_3002_T"	"HKB0040_3002_T"	"CE10"	2.75489205883987e-08	5.55625962964263e-06	TRUE	"CE10"
"HKB0052_3000_T"	"HKB0052_3000_T"	"CE10"	0.00557318216655334	0.00913053248562994	TRUE	"CE10"
"HKB0054_3000_T"	"HKB0054_3000_T"	"CE10"	8.53693623107376e-07	1.27533230606607e-05	TRUE	"CE10"
"HKB0074_3000_T"	"HKB0074_3000_T"	"CE10"	0.000111182049734855	0.00029520751136496	TRUE	"CE10"
"HKB0094_3006_T"	"HKB0094_3006_T"	"CE10"	0.00341547661999573	0.00602271068106117	TRUE	"CE10"
"HKB0127_3006_T"	"HKB0127_3006_T"	"CE10"	0.00114678443347987	0.00230354090551173	TRUE	"CE10"
"HKB0129_3000_T"	"HKB0129_3000_T"	"CE10"	0.000528503850083854	0.00112004026944376	TRUE	"CE10"
